1,Y,NSE-EQ,28/05/2025,0,25065,G,D,295048.5,Being NPS Alloted as on 28/05/2025,Z3249
2,N,NSE-EQ,28/05/2025,0,15181,G,C,291122.69,Being NPS Obligation as on 28/05/2025,Z3249
3,N,NSE-EQ,28/05/2025,0,30064,G,C,2600,Being Account Opening fees on  NPS as on 28/05/2025,Z3249
4,N,NSE-EQ,28/05/2025,0,30063,G,C,727.81,Being Commission on  NPS as on 28/05/2025,Z3249
5,N,NSE-EQ,28/05/2025,0,15006,G,C,31.95,Being CGST On Commission & Account Opening fee as on 28/05/2025,Z3249
6,N,NSE-EQ,28/05/2025,0,15007,G,C,31.95,Being SGST On Commission & Account Opening fee as on 28/05/2025,Z3249
7,N,NSE-EQ,28/05/2025,0,15008,G,C,534.1,Being IGST On Commission & Account Opening fee as on 28/05/2025,Z3249
